event_second,pair_1,bid_1,pair_2,bid_2,pair_3,bid_3,ratio
2024-02-17 16:11:37,ETHBTC,0.05367,BTCUSDC,51605.51,ETHUSDC,2766.28,1.0012246488786385
2024-02-17 16:16:27,SOLBTC,0.0020978,BTCUSDT,51550.29,SOLUSDT,108.01,1.001223945579113
2024-02-17 15:31:44,ETHBTC,0.05374,BTCUSDC,51650.0,ETHUSDC,2772.28,1.0012231809196763
2024-02-17 16:00:48,SOLBTC,0.0021019,BTCUSDC,51711.19,SOLUSDC,108.56,1.00121361699521
2024-02-17 16:26:18,AVAXBTC,0.0007637,BTCUSDT,51534.78,AVAXUSDT,39.31,1.0011984605952684
2024-02-17 16:28:49,BTCUSDC,51541.33,USDCUSDT,0.9989,BTCUSDT,51423.07,1.0011972162883314
2024-02-17 16:22:29,SOLBTC,0.002079,BTCUSDT,51537.58,SOLUSDT,107.02,1.001183225752196
2024-02-17 16:11:09,ETHBTC,0.05367,BTCUSDC,51602.48,ETHUSDC,2766.28,1.001165862313287
2024-02-17 15:21:43,ADABTC,1.13e-05,BTCUSDC,51660.47,ADAUSDC,0.5831,1.0011375595952667
2024-02-17 16:20:26,SOLBTC,0.0020937,BTCUSDT,51560.68,SOLUSDT,107.83,1.0011369351386443
2024-02-17 16:16:31,SOLBTC,0.0020978,BTCUSDT,51550.29,SOLUSDT,108.02,1.0011312568228106
2024-02-17 16:26:21,LINKBTC,0.0003787,BTCUSDT,51520.62,LINKUSDT,19.49,1.0010702305797847
2024-02-17 16:26:53,AVAXBTC,0.0007633,BTCUSDT,51512.98,AVAXUSDT,39.28,1.0010147055498981
2024-02-17 16:30:05,SOLBTC,0.0020755,BTCUSDC,51485.0,SOLUSDC,106.75,1.0010034426229508
2024-02-17 16:24:11,AVAXBTC,0.0007637,BTCUSDT,51537.58,AVAXUSDT,39.32,1.0009982158189217
2024-02-17 14:22:40,SOLBTC,0.0021018,BTCUSDC,51750.0,SOLUSDC,108.66,1.000995306460519
2024-02-17 14:10:09,ETHBTC,0.05364,BTCUSDC,51700.07,ETHUSDC,2770.52,1.0009643513852995
2024-02-17 14:10:08,ETHBTC,0.05364,BTCUSDC,51699.09,ETHUSDC,2770.52,1.0009453776186419
2024-02-17 14:10:07,ETHBTC,0.05364,BTCUSDC,51699.07,ETHUSDC,2770.52,1.0009449903989143
2024-02-17 16:08:25,SOLBTC,0.0021016,BTCUSDT,51575.41,SOLUSDT,108.29,1.0009315879213223
2024-02-17 16:08:23,SOLBTC,0.0021016,BTCUSDT,51575.35,SOLUSDT,108.29,1.0009304234924739
2024-02-17 14:10:05,ETHBTC,0.05364,BTCUSDC,51698.07,ETHUSDC,2770.52,1.000925629412529
2024-02-17 14:10:34,ETHBTC,0.05364,BTCUSDC,51698.05,ETHUSDC,2770.52,1.0009252421928014
2024-02-17 16:28:17,BTCUSDC,51566.79,USDCUSDT,0.999,BTCUSDT,51468.1,1.000915580913226
2024-02-17 16:28:48,BTCUSDC,51542.33,USDCUSDT,0.9989,BTCUSDT,51439.69,1.000893151513938
2024-02-17 16:15:57,SOLBTC,0.0020987,BTCUSDT,51553.79,SOLUSDT,108.1,1.000887502987974
2024-02-17 16:28:41,BTCUSDC,51541.33,USDCUSDT,0.9989,BTCUSDT,51439.68,1.0008739272289409
2024-02-17 16:28:42,BTCUSDC,51541.33,USDCUSDT,0.9989,BTCUSDT,51439.69,1.0008737326566315
2024-02-17 16:28:16,BTCUSDC,51563.79,USDCUSDT,0.999,BTCUSDT,51468.09,1.0008575451313622
2024-02-17 16:08:22,SOLBTC,0.0021016,BTCUSDT,51575.34,SOLUSDT,108.3,1.0008378074238227
2024-02-17 16:30:06,SOLBTC,0.0020755,BTCUSDC,51486.0,SOLUSDC,106.77,1.0008353751053667
2024-02-17 16:26:20,SOLBTC,0.002079,BTCUSDT,51533.59,SOLUSDT,107.05,1.0008251621672117
2024-02-17 15:40:02,ETHBTC,0.05375,BTCUSDC,51624.02,ETHUSDC,2772.51,1.0008227472578997
2024-02-17 16:15:46,ADABTC,1.134e-05,BTCUSDC,51600.48,ADAUSDC,0.5847,1.0007686731657262
2024-02-17 16:26:18,SOLBTC,0.002079,BTCUSDT,51534.78,SOLUSDT,107.06,1.000754788156174
2024-02-17 16:11:08,SOLBTC,0.0020988,BTCUSDC,51601.48,SOLUSDC,108.22,1.0007501961190168
2024-02-17 14:59:01,ADABTC,1.131e-05,BTCUSDC,51701.0,ADAUSDC,0.5843,1.0007501454732157
2024-02-17 16:28:56,BTCUSDC,51528.44,USDCUSDT,0.9987,BTCUSDT,51423.06,1.0007466111118242
2024-02-17 16:08:21,SOLBTC,0.0021016,BTCUSDT,51575.33,SOLUSDT,108.31,1.0007452084572062
2024-02-17 16:25:18,AVAXBTC,0.0007637,BTCUSDT,51537.58,AVAXUSDT,39.33,1.0007437031782354
2024-02-17 16:11:12,SOLBTC,0.0020987,BTCUSDC,51603.48,SOLUSDC,108.22,1.0007412999075957
2024-02-17 16:26:19,SOLBTC,0.002079,BTCUSDT,51533.59,SOLUSDT,107.06,1.0007316795254997
2024-02-17 16:11:07,SOLBTC,0.0020987,BTCUSDC,51601.48,SOLUSDC,108.22,1.0007025141009054
2024-02-17 15:36:19,ETHBTC,0.05373,BTCUSDC,51635.0,ETHUSDC,2772.42,1.0006956197112993
2024-02-17 16:26:22,SOLBTC,0.002078,BTCUSDT,51520.62,SOLUSDT,106.99,1.00065284942518
2024-02-17 16:16:02,ETHBTC,0.05363,BTCUSDC,51603.48,ETHUSDC,2765.69,1.0006525071139571
2024-02-17 16:11:31,SOLBTC,0.0020988,BTCUSDC,51605.48,SOLUSDC,108.24,1.0006428439024393
2024-02-17 16:15:51,ETHBTC,0.05363,BTCUSDC,51602.48,ETHUSDC,2765.68,1.0006367339677764
2024-02-17 16:16:01,ETHBTC,0.05363,BTCUSDC,51602.48,ETHUSDC,2765.69,1.0006331159312865
2024-02-17 16:11:00,ETHBTC,0.05364,BTCUSDC,51603.48,ETHUSDC,2766.26,1.0006328643005358
2024-02-17 16:15:50,ETHBTC,0.05363,BTCUSDC,51601.48,ETHUSDC,2765.69,1.000613724748616
