event_second,pair_1,ask_1,pair_2,ask_2,pair_3,ask_3,ratio
2024-02-17 15:43:10,AVAXBTC,0.0007641,BTCUSDT,51600.82,AVAXUSDT,39.72,0.9926532367069487
2024-02-17 15:31:24,AVAXBTC,0.0007638,BTCUSDT,51623.06,AVAXUSDT,39.72,0.9926911688821752
2024-02-17 16:19:01,DOGEBTC,1.62e-06,BTCUSDT,51571.16,DOGEUSDT,0.08416,0.992695807984791
2024-02-17 15:45:51,ADAUSDC,0.5831,USDCUSDT,0.9992,ADAUSDT,0.5869,0.9927304821945816
2024-02-17 15:34:12,AVAXBTC,0.0007638,BTCUSDT,51600.01,AVAXUSDT,39.7,0.9927477994458438
2024-02-17 14:38:58,MATICBTC,1.791e-05,BTCUSDT,51739.31,MATICUSDT,0.9334,0.9927694901435611
2024-02-17 14:53:37,BNBBTC,0.006859,BTCUSDT,51701.19,BNBUSDT,357.2,0.992772850531915
2024-02-17 16:15:53,DOGEBTC,1.62e-06,BTCUSDT,51569.3,DOGEUSDT,0.08415,0.9927779679144385
2024-02-17 14:36:24,ETHUSDC,2765.91,USDCUSDT,0.999,ETHUSDT,2783.21,0.9927903715493979
2024-02-17 14:57:06,MATICBTC,1.791e-05,BTCUSDT,51674.83,MATICUSDT,0.9322,0.9928086304441106
2024-02-17 14:59:03,MATICBTC,1.791e-05,BTCUSDT,51674.87,MATICUSDT,0.9322,0.9928093989487234
2024-02-17 14:57:35,MATICBTC,1.791e-05,BTCUSDT,51674.88,MATICUSDT,0.9322,0.9928095910748765
2024-02-17 15:31:25,AVAXBTC,0.0007639,BTCUSDT,51623.06,AVAXUSDT,39.72,0.9928211363041289
2024-02-17 16:20:46,ADABTC,1.125e-05,BTCUSDT,51547.32,ADAUSDT,0.5841,0.9928220338983053
2024-02-17 14:58:45,BNBBTC,0.006859,BTCUSDT,51674.82,BNBUSDT,357.0,0.9928223820168066
2024-02-17 16:17:43,DOGEBTC,1.62e-06,BTCUSDT,51547.34,DOGEUSDT,0.08411,0.9928271406491498
2024-02-17 14:36:48,SOLBTC,0.0021017,BTCUSDT,51760.05,SOLUSDT,109.57,0.9928273896595785
2024-02-17 16:17:44,DOGEBTC,1.62e-06,BTCUSDT,51547.38,DOGEUSDT,0.08411,0.9928279110688383
2024-02-17 14:36:54,ETHUSDC,2765.91,USDCUSDT,0.9991,ETHUSDT,2783.38,0.9928291074161629
2024-02-17 14:36:52,ETHUSDC,2765.91,USDCUSDT,0.9991,ETHUSDT,2783.37,0.9928326744198578
2024-02-17 14:49:53,SOLBTC,0.0021018,BTCUSDT,51720.16,SOLUSDT,109.49,0.9928343436660884
2024-02-17 14:36:51,ETHUSDC,2765.91,USDCUSDT,0.9991,ETHUSDT,2783.36,0.9928362414491836
2024-02-17 14:36:55,ETHUSDC,2765.93,USDCUSDT,0.9991,ETHUSDT,2783.38,0.9928362864574725
2024-02-17 14:36:56,ETHUSDC,2765.94,USDCUSDT,0.9991,ETHUSDT,2783.39,0.9928363089613745
2024-02-17 15:32:39,AVAXBTC,0.0007638,BTCUSDT,51605.07,AVAXUSDT,39.7,0.992845150277078
2024-02-17 14:36:14,ETHUSDC,2765.91,USDCUSDT,0.999,ETHUSDT,2783.05,0.9928474479438025
2024-02-17 14:36:46,ETHUSDC,2765.91,USDCUSDT,0.9991,ETHUSDT,2783.31,0.9928540769802859
2024-02-17 15:33:07,AVAXBTC,0.0007638,BTCUSDT,51605.79,AVAXUSDT,39.7,0.9928590025692694
2024-02-17 16:03:14,LINKBTC,0.0003787,BTCUSDT,51674.82,LINKUSDT,19.71,0.9928591747336377
2024-02-17 15:33:14,AVAXBTC,0.0007638,BTCUSDT,51605.94,AVAXUSDT,39.7,0.992861888463476
2024-02-17 15:33:15,AVAXBTC,0.0007638,BTCUSDT,51605.95,AVAXUSDT,39.7,0.9928620808564231
2024-02-17 15:33:17,AVAXBTC,0.0007638,BTCUSDT,51605.97,AVAXUSDT,39.7,0.9928624656423173
2024-02-17 14:19:44,SOLBTC,0.0021018,BTCUSDT,51716.92,SOLUSDT,109.48,0.9928628284252831
2024-02-17 14:47:57,MATICBTC,1.791e-05,BTCUSDT,51699.85,MATICUSDT,0.9326,0.9928632999142183
2024-02-17 14:50:05,BNBBTC,0.006859,BTCUSDT,51720.42,BNBUSDT,357.3,0.9928641499580184
2024-02-17 14:50:06,BNBBTC,0.006859,BTCUSDT,51720.44,BNBUSDT,357.3,0.992864533893087
2024-02-17 14:37:53,MATICBTC,1.791e-05,BTCUSDT,51753.6,MATICUSDT,0.9335,0.9929373069094803
2024-02-17 15:31:28,AVAXBTC,0.0007638,BTCUSDT,51623.06,AVAXUSDT,39.71,0.9929411540669856
2024-02-17 15:30:34,AVAXBTC,0.0007638,BTCUSDT,51623.09,AVAXUSDT,39.71,0.9929417311004783
2024-02-17 16:17:21,DOGEBTC,1.62e-06,BTCUSDT,51547.32,DOGEUSDT,0.0841,0.9929448085612367
2024-02-17 14:30:19,MATICBTC,1.79e-05,BTCUSDT,51699.85,MATICUSDT,0.932,0.9929477628755365
2024-02-17 14:30:41,MATICBTC,1.79e-05,BTCUSDT,51699.86,MATICUSDT,0.932,0.9929479549356224
